Valor do sinal,Temperatura,Umidade,Hora
-0.22265625,26.0°C,72%,20:53:40
0.083984375,26.0°C,72%,20:53:56
0.083984375,26.0°C,72%,20:54:12
-0.208984375,26.0°C,72%,20:54:28
-0.2109375,26.0°C,72%,20:54:44
0.0859375,26.0°C,72%,20:55:00
0.06640625,26.0°C,72%,20:55:16
-0.22265625,26.0°C,72%,20:55:32
-0.162109375,26.0°C,72%,20:55:48
0.08203125,25.9°C,73%,20:56:04
0.03125,25.9°C,73%,20:56:20
-0.224609375,25.9°C,73%,20:56:36
-0.103515625,25.9°C,73%,20:56:52
0.083984375,25.9°C,73%,20:57:09
-0.0390625,25.9°C,73%,20:57:25
-0.208984375,25.9°C,73%,20:57:41
-0.0390625,25.9°C,73%,20:57:57
-0.20703125,25.9°C,73%,20:58:13
-0.05078125,25.9°C,73%,20:58:30
0.0859375,25.9°C,73%,20:58:46
-0.09375,25.9°C,73%,20:59:02
-0.224609375,25.9°C,73%,20:59:18
0.021484375,25.9°C,73%,20:59:34
0.08203125,25.9°C,73%,20:59:50
-0.150390625,25.9°C,73%,21:00:07
-0.22265625,25.9°C,73%,21:00:23
0.060546875,25.9°C,73%,21:00:39
0.083984375,25.9°C,73%,21:00:55
-0.20703125,25.9°C,73%,21:01:11
-0.208984375,25.9°C,73%,21:01:27
0.08203125,25.9°C,73%,21:01:43
0.08203125,25.9°C,73%,21:01:59
-0.22265625,25.9°C,73%,21:02:16
-0.201171875,25.9°C,73%,21:02:32
0.083984375,25.9°C,73%,21:02:48
0.05078125,25.9°C,73%,21:03:04
-0.2109375,25.9°C,73%,21:03:20
-0.1484375,25.9°C,73%,21:03:36
0.0859375,25.9°C,73%,21:03:52
0.0,25.9°C,73%,21:04:08
-0.224609375,25.9°C,73%,21:04:24
-0.07421875,25.9°C,73%,21:04:40
0.08203125,25.9°C,73%,21:04:56
-0.056640625,25.9°C,73%,21:05:13
-0.22265625,25.9°C,73%,21:05:28
-0.01953125,25.9°C,73%,21:05:45
0.0859375,25.9°C,73%,21:06:01
-0.12890625,25.9°C,73%,21:06:17
0.03515625,25.9°C,73%,21:06:33
-0.21875,25.9°C,73%,21:06:49
-0.119140625,25.9°C,73%,21:07:05
0.0859375,25.9°C,73%,21:07:21
-0.033203125,25.9°C,73%,21:07:37
-0.208984375,25.9°C,73%,21:07:53
-0.056640625,25.9°C,73%,21:08:09
0.083984375,25.9°C,73%,21:08:25
-0.083984375,25.9°C,73%,21:08:41
-0.2265625,25.9°C,73%,21:08:57
0.015625,25.9°C,73%,21:09:14
0.08203125,25.9°C,73%,21:09:30
-0.146484375,25.9°C,73%,21:09:45
-0.21875,25.9°C,73%,21:10:02
0.0546875,25.9°C,73%,21:10:18
0.0859375,25.9°C,73%,21:10:34
-0.205078125,25.9°C,73%,21:10:50
-0.208984375,25.9°C,73%,21:11:06
0.083984375,25.9°C,73%,21:11:22
0.08203125,25.9°C,73%,21:11:38
-0.21875,25.9°C,73%,21:11:55
-0.201171875,25.9°C,73%,21:12:11
0.087890625,25.9°C,73%,21:12:27
0.0546875,25.9°C,73%,21:12:43
-0.2109375,25.9°C,73%,21:12:59
-0.1484375,25.9°C,73%,21:13:16
0.080078125,25.9°C,73%,21:13:32
0.00390625,25.9°C,73%,21:13:48
-0.228515625,25.9°C,73%,21:14:04
-0.076171875,25.9°C,73%,21:14:21
0.083984375,25.9°C,73%,21:14:37
-0.0546875,25.9°C,73%,21:14:53
-0.15234375,25.9°C,73%,21:15:09
-0.2265625,25.9°C,73%,21:15:25
0.06640625,25.9°C,73%,21:15:42
0.083984375,25.9°C,73%,21:15:58
-0.205078125,25.9°C,73%,21:16:14
-0.20703125,25.9°C,73%,21:16:30
0.08203125,25.9°C,73%,21:16:46
0.08203125,25.9°C,73%,21:17:02
-0.224609375,25.9°C,73%,21:17:19
-0.19140625,25.9°C,73%,21:17:35
0.08203125,25.9°C,73%,21:17:51
0.046875,25.9°C,73%,21:18:07
-0.2109375,25.9°C,73%,21:18:23
-0.13671875,25.9°C,73%,21:18:40
0.0859375,25.9°C,73%,21:18:56
-0.013671875,25.9°C,73%,21:19:12
-0.21875,25.9°C,73%,21:19:29
-0.064453125,25.9°C,73%,21:19:45
0.08203125,25.9°C,73%,21:20:01
-0.06640625,25.9°C,73%,21:20:17
-0.2265625,25.9°C,73%,21:20:33
-0.001953125,25.9°C,73%,21:20:50
0.083984375,25.9°C,73%,21:21:06
-0.138671875,25.9°C,73%,21:21:22
-0.212890625,25.9°C,73%,21:21:38
0.044921875,25.9°C,73%,21:21:55
0.0859375,25.9°C,73%,21:22:11
-0.1953125,25.9°C,73%,21:22:28
-0.216796875,25.9°C,73%,21:22:44
0.083984375,25.9°C,73%,21:23:00
0.080078125,25.9°C,73%,21:23:16
-0.21484375,25.9°C,73%,21:23:32
-0.134765625,25.9°C,73%,21:23:49
-0.212890625,25.9°C,73%,21:24:05
0.044921875,25.9°C,73%,21:24:21
0.08984375,25.9°C,73%,21:24:37
-0.19140625,25.9°C,73%,21:24:53
-0.216796875,25.9°C,73%,21:25:09
0.083984375,25.9°C,73%,21:25:26
0.080078125,25.9°C,73%,21:25:42
-0.21484375,25.9°C,73%,21:25:58
-0.208984375,25.9°C,73%,21:26:14
0.0859375,25.9°C,73%,21:26:30
0.060546875,25.9°C,73%,21:26:47
-0.21484375,25.9°C,73%,21:27:03
-0.154296875,25.9°C,73%,21:27:19
0.08203125,25.9°C,73%,21:27:35
0.017578125,25.9°C,73%,21:27:51
-0.2265625,25.9°C,73%,21:28:08
-0.083984375,25.9°C,73%,21:28:24
0.083984375,25.9°C,73%,21:28:40
-0.05078125,25.9°C,73%,21:28:57
-0.21484375,25.9°C,73%,21:29:13
-0.033203125,25.9°C,73%,21:29:29
0.087890625,25.9°C,73%,21:29:45
-0.123046875,25.9°C,73%,21:30:01
-0.2109375,25.9°C,73%,21:30:17
0.03515625,25.9°C,73%,21:30:34
0.08203125,25.9°C,73%,21:30:50
-0.171875,25.9°C,73%,21:31:06
-0.228515625,25.9°C,73%,21:31:23
0.08203125,25.9°C,73%,21:31:39
0.08203125,25.9°C,73%,21:31:55
-0.208984375,25.9°C,73%,21:32:11
0.021484375,25.9°C,73%,21:32:27
0.08203125,25.9°C,73%,21:32:44
-0.15625,25.9°C,73%,21:33:00
-0.224609375,25.9°C,73%,21:33:16
0.0703125,25.9°C,73%,21:33:32
0.083984375,25.9°C,73%,21:33:48
-0.208984375,25.9°C,73%,21:34:04
-0.208984375,25.9°C,73%,21:34:20
0.083984375,25.9°C,73%,21:34:37
0.080078125,25.9°C,73%,21:34:53
-0.224609375,25.9°C,73%,21:35:09
-0.181640625,25.9°C,73%,21:35:25
0.083984375,25.9°C,73%,21:35:42
0.044921875,25.9°C,73%,21:35:58
-0.21484375,25.9°C,73%,21:36:15
-0.125,25.9°C,73%,21:36:31
0.052734375,25.9°C,73%,21:36:48
0.083984375,25.9°C,73%,21:37:04
-0.208984375,25.9°C,73%,21:37:21
-0.212890625,25.9°C,73%,21:37:37
0.08203125,25.9°C,73%,21:37:53
0.080078125,25.9°C,73%,21:38:10
-0.224609375,25.9°C,73%,21:38:26
-0.197265625,25.9°C,73%,21:38:42
0.08203125,25.9°C,73%,21:38:59
0.046875,25.9°C,73%,21:39:15
-0.2109375,25.9°C,73%,21:39:31
-0.134765625,25.9°C,73%,21:39:47
0.0859375,25.9°C,73%,21:40:04
-0.015625,25.9°C,73%,21:40:20
-0.21875,25.9°C,73%,21:40:36
-0.064453125,25.9°C,73%,21:40:52
0.08203125,25.9°C,73%,21:41:09
-0.072265625,25.9°C,73%,21:41:25
-0.228515625,25.9°C,73%,21:41:41
0.001953125,25.9°C,73%,21:41:58
0.08203125,25.9°C,73%,21:42:14
-0.140625,25.9°C,73%,21:42:30
-0.216796875,25.9°C,73%,21:42:46
0.052734375,25.9°C,73%,21:43:05
0.087890625,25.9°C,73%,21:43:21
-0.203125,25.9°C,73%,21:43:37
-0.212890625,25.9°C,73%,21:43:54
0.0859375,25.9°C,73%,21:44:11
0.080078125,25.9°C,73%,21:44:27
-0.22265625,25.9°C,73%,21:44:43
-0.19921875,25.9°C,73%,21:45:00
0.08203125,25.9°C,73%,21:45:16
-0.197265625,25.9°C,73%,21:45:32
-0.216796875,25.9°C,73%,21:45:48
0.08203125,25.9°C,73%,21:46:04
0.080078125,25.9°C,73%,21:46:21
-0.21875,25.9°C,73%,21:46:37
-0.205078125,25.9°C,73%,21:46:53
0.0859375,25.9°C,73%,21:47:09
0.052734375,25.9°C,73%,21:47:26
-0.2109375,25.9°C,73%,21:47:42
-0.14453125,25.9°C,73%,21:47:59
0.083984375,25.9°C,73%,21:48:15
-0.00390625,25.9°C,73%,21:48:31
-0.224609375,25.9°C,73%,21:48:47
-0.072265625,25.9°C,73%,21:49:04
0.08203125,25.9°C,73%,21:49:20
-0.0625,25.9°C,73%,21:49:36
-0.14453125,25.9°C,73%,21:49:52
0.0859375,25.9°C,73%,21:50:09
0.00390625,25.9°C,73%,21:50:25
-0.2265625,25.9°C,73%,21:50:41
-0.076171875,25.9°C,73%,21:50:57
0.083984375,25.9°C,73%,21:51:13
-0.060546875,25.9°C,73%,21:51:30
-0.224609375,25.9°C,73%,21:51:46
-0.013671875,25.9°C,73%,21:52:02
0.083984375,25.9°C,73%,21:52:19
-0.1328125,25.9°C,73%,21:52:35
-0.2109375,25.9°C,73%,21:52:51
0.044921875,25.9°C,73%,21:53:07
0.087890625,25.9°C,73%,21:53:24
-0.1953125,25.9°C,73%,21:53:40
-0.21875,25.9°C,73%,21:53:56
0.017578125,25.9°C,73%,21:54:12
-0.2265625,25.9°C,73%,21:54:29
-0.0859375,25.9°C,73%,21:54:45
0.083984375,25.9°C,73%,21:55:02
-0.05078125,25.9°C,73%,21:55:18
-0.216796875,25.9°C,73%,21:55:34
-0.03125,25.9°C,73%,21:55:50
0.0859375,25.9°C,73%,21:56:07
-0.125,25.8°C,72%,21:56:23
-0.2109375,25.8°C,72%,21:56:40
0.03125,25.8°C,72%,21:56:56
0.0859375,25.8°C,72%,21:57:13
-0.17578125,25.8°C,72%,21:57:29
-0.2265625,25.8°C,72%,21:57:45
0.08203125,25.8°C,72%,21:58:01
0.08203125,25.8°C,72%,21:58:18
-0.208984375,25.8°C,72%,21:58:34
-0.212890625,25.8°C,72%,21:58:50
0.0859375,25.8°C,72%,21:59:06
0.068359375,25.8°C,72%,21:59:23
-0.22265625,25.8°C,72%,21:59:39
-0.162109375,25.8°C,72%,21:59:55
0.08203125,25.8°C,72%,22:00:12
0.02734375,25.8°C,72%,22:00:28
-0.228515625,25.8°C,72%,22:00:44
-0.099609375,25.8°C,72%,22:01:01
0.08203125,25.8°C,72%,22:01:17
-0.04296875,25.8°C,72%,22:01:35
-0.2109375,25.8°C,72%,22:01:51
-0.041015625,25.8°C,72%,22:02:07
0.087890625,25.8°C,72%,22:02:25
-0.11328125,25.8°C,72%,22:02:41
-0.216796875,25.8°C,72%,22:02:57
0.02734375,25.8°C,72%,22:03:13
0.08203125,25.8°C,72%,22:03:29
-0.166015625,25.8°C,72%,22:03:45
-0.228515625,25.8°C,72%,22:04:02
0.078125,25.8°C,72%,22:04:18
0.083984375,25.8°C,72%,22:04:34
-0.208984375,25.8°C,72%,22:04:51
-0.20703125,25.8°C,72%,22:05:07
0.083984375,25.8°C,72%,22:05:24
0.076171875,25.8°C,72%,22:05:40
-0.228515625,25.8°C,72%,22:05:56
-0.1640625,25.8°C,72%,22:06:13
0.083984375,25.8°C,72%,22:06:29
0.03515625,25.8°C,72%,22:06:46
-0.22265625,25.8°C,72%,22:07:03
-0.111328125,25.8°C,72%,22:07:19
0.0859375,25.8°C,72%,22:07:36
-0.0390625,25.8°C,72%,22:07:52
-0.208984375,25.8°C,72%,22:08:09
-0.05078125,25.8°C,72%,22:08:25
0.0859375,25.8°C,72%,22:08:42
-0.09765625,25.8°C,72%,22:08:58
-0.22265625,25.8°C,72%,22:09:14
0.021484375,25.8°C,72%,22:09:31
0.083984375,25.8°C,72%,22:09:47
-0.154296875,25.8°C,72%,22:10:03
-0.228515625,25.8°C,72%,22:10:20
0.068359375,25.8°C,72%,22:10:37
0.08203125,25.8°C,72%,22:10:53
-0.208984375,25.8°C,72%,22:11:09
-0.2109375,25.8°C,72%,22:11:26
0.0859375,25.8°C,72%,22:11:42
-0.142578125,25.8°C,72%,22:11:59
-0.21875,25.8°C,72%,22:12:15
0.060546875,25.8°C,72%,22:12:31
0.0859375,25.8°C,72%,22:12:48
-0.205078125,25.8°C,72%,22:13:04
-0.208984375,25.8°C,72%,22:13:20
0.0859375,25.8°C,72%,22:13:37
0.0859375,25.8°C,72%,22:13:53
-0.22265625,25.8°C,72%,22:14:09
-0.197265625,25.8°C,72%,22:14:26
0.0859375,25.8°C,72%,22:14:43
0.05078125,25.8°C,72%,22:15:00
-0.2109375,25.8°C,72%,22:15:16
-0.142578125,25.8°C,72%,22:15:34
0.087890625,25.8°C,72%,22:15:50
-0.0078125,25.8°C,72%,22:16:06
-0.22265625,25.8°C,72%,22:16:23
-0.072265625,25.8°C,72%,22:16:40
0.083984375,25.8°C,72%,22:16:56
-0.06640625,25.8°C,72%,22:17:12
-0.228515625,25.8°C,72%,22:17:29
-0.005859375,25.8°C,72%,22:17:45
0.083984375,25.8°C,72%,22:18:03
-0.134765625,25.8°C,72%,22:18:19
-0.212890625,25.8°C,72%,22:18:35
0.044921875,25.8°C,72%,22:18:52
0.0859375,25.8°C,72%,22:19:08
-0.197265625,25.8°C,72%,22:19:25
-0.216796875,25.8°C,72%,22:19:41
0.083984375,25.8°C,72%,22:19:57
0.083984375,25.8°C,72%,22:20:14
-0.21484375,25.8°C,72%,22:20:30
-0.208984375,25.8°C,72%,22:20:46
0.0859375,25.8°C,72%,22:21:03
0.0625,25.8°C,72%,22:21:19
-0.2109375,25.8°C,72%,22:21:35
-0.1484375,25.8°C,72%,22:21:52
0.08203125,25.8°C,72%,22:22:08
0.013671875,25.8°C,72%,22:22:25
-0.228515625,25.8°C,72%,22:22:41
-0.08203125,25.8°C,72%,22:22:58
0.08203125,25.8°C,72%,22:23:14
-0.052734375,25.8°C,72%,22:23:31
-0.220703125,25.8°C,72%,22:23:47
-0.025390625,25.8°C,72%,22:24:04
0.0859375,25.8°C,72%,22:24:20
-0.125,25.8°C,72%,22:24:37
-0.208984375,25.8°C,72%,22:24:53
0.03515625,25.8°C,72%,22:25:09
0.083984375,25.8°C,72%,22:25:26
-0.177734375,25.8°C,72%,22:25:43
-0.2265625,25.8°C,72%,22:25:59
0.083984375,25.8°C,72%,22:26:16
0.08203125,25.8°C,72%,22:26:32
-0.208984375,25.8°C,72%,22:26:48
-0.212890625,25.8°C,72%,22:27:04
0.0859375,25.8°C,72%,22:27:21
0.0703125,25.8°C,72%,22:27:37
-0.224609375,25.8°C,72%,22:27:53
-0.158203125,25.8°C,72%,22:28:10
0.08203125,25.8°C,72%,22:28:26
0.03125,25.8°C,72%,22:28:42
-0.224609375,25.8°C,72%,22:28:59
-0.099609375,25.8°C,72%,22:29:15
