Totosa Value,Hora
-0.23046875,02:41:32
-0.17578125,02:41:32
0.0625,02:41:32
0.005859375,02:41:32
-0.248046875,02:41:32
-0.109375,02:41:32
0.06640625,02:41:32
-0.07421875,02:41:32
-0.232421875,02:41:32
-0.072265625,02:41:32
0.076171875,02:41:32
-0.146484375,02:41:32
-0.23046875,02:41:32
0.001953125,02:41:32
0.0625,02:41:32
-0.189453125,02:41:32
-0.248046875,02:41:32
0.05859375,02:41:32
0.060546875,02:41:32
-0.23046875,02:41:32
-0.23046875,02:41:32
0.06640625,02:41:32
0.0625,02:41:32
-0.2421875,02:41:32
-0.185546875,02:41:32
0.068359375,02:41:32
0.021484375,02:41:32
-0.23046875,02:41:32
-0.13671875,02:41:32
0.076171875,02:41:32
-0.0546875,02:41:32
-0.21875,02:41:32
-0.07421875,02:41:32
0.072265625,02:41:32
-0.103515625,02:41:32
-0.234375,02:41:32
0.00390625,02:41:32
0.06640625,02:41:32
-0.1640625,02:41:32
-0.234375,02:41:32
0.044921875,02:41:32
0.07421875,02:41:32
-0.224609375,02:41:32
-0.220703125,02:41:32
0.064453125,02:41:32
0.0703125,02:41:32
-0.23828125,02:41:32
-0.21484375,02:41:32
0.07421875,02:41:33
-0.22265625,02:41:33
-0.232421875,02:41:33
0.064453125,02:41:33
0.060546875,02:41:33
-0.2265625,02:41:33
-0.232421875,02:41:33
0.076171875,02:41:33
0.04296875,02:41:33
-0.228515625,02:41:33
-0.17578125,02:41:33
0.06640625,02:41:33
-0.00390625,02:41:33
-0.24609375,02:41:33
-0.10546875,02:41:33
0.06640625,02:41:33
-0.07421875,02:41:33
-0.232421875,02:41:33
-0.060546875,02:41:33
0.076171875,02:41:33
-0.1484375,02:41:33
-0.228515625,02:41:33
0.00390625,02:41:33
0.064453125,02:41:33
-0.19140625,02:41:33
-0.24609375,02:41:33
0.060546875,02:41:33
0.05859375,02:41:33
-0.23046875,02:41:33
-0.236328125,02:41:33
0.064453125,02:41:33
0.056640625,02:41:33
-0.248046875,02:41:34
-0.197265625,02:41:34
0.05859375,02:41:34
0.0078125,02:41:34
-0.240234375,02:41:34
-0.146484375,02:41:34
0.0703125,02:41:34
-0.064453125,02:41:34
-0.228515625,02:41:34
-0.08203125,02:41:34
0.0703125,02:41:34
-0.109375,02:41:34
-0.240234375,02:41:34
-0.001953125,02:41:34
0.06640625,02:41:34
-0.162109375,02:41:34
-0.234375,02:41:34
0.044921875,02:41:34
0.07421875,02:41:34
-0.2265625,02:41:34
-0.220703125,02:41:34
0.06640625,02:41:34
0.0703125,02:41:34
-0.23828125,02:41:34
-0.216796875,02:41:34
0.07421875,02:41:34
0.033203125,02:41:34
-0.22265625,02:41:34
-0.16796875,02:41:34
0.07421875,02:41:34
-0.025390625,02:41:34
-0.23828125,02:41:34
0.072265625,02:41:35
0.044921875,02:41:35
-0.23828125,02:41:35
-0.18359375,02:41:35
0.05859375,02:41:35
0.009765625,02:41:35
-0.2421875,02:41:35
-0.119140625,02:41:35
0.068359375,02:41:35
-0.06640625,02:41:35
-0.22265625,02:41:35
-0.0703125,02:41:35
0.078125,02:41:35
-0.125,02:41:35
-0.232421875,02:41:35
0.0078125,02:41:35
-0.16796875,02:41:36
0.072265625,02:41:36
-0.05859375,02:41:36
-0.234375,02:41:36
-0.09375,02:41:36
0.05859375,02:41:36
-0.095703125,02:41:36
-0.25,02:41:36
-0.01953125,02:41:36
0.064453125,02:41:36
-0.1640625,02:41:36
-0.2265625,02:41:36
0.025390625,02:41:36
0.078125,02:41:36
-0.21875,02:41:36
-0.228515625,02:41:36
0.087890625,02:41:37
-0.095703125,02:41:37
-0.22265625,02:41:37
0.01953125,02:41:37
0.0859375,02:41:37
-0.142578125,02:41:37
-0.21484375,02:41:37
0.068359375,02:41:37
0.091796875,02:41:37
-0.193359375,02:41:37
-0.201171875,02:41:37
0.0859375,02:41:37
0.0859375,02:41:37
-0.220703125,02:41:37
-0.203125,02:41:37
0.083984375,02:41:37
0.0546875,02:41:37
-0.20703125,02:41:37
-0.1484375,02:41:37
0.08203125,02:41:37
0.01171875,02:41:37
-0.2265625,02:41:37
-0.076171875,02:41:37
0.0859375,02:41:37
-0.044921875,02:41:37
-0.212890625,02:41:37
-0.03125,02:41:37
0.0859375,02:41:37
-0.123046875,02:41:37
-0.21484375,02:41:37
0.0234375,02:41:37
0.072265625,02:41:37
-0.1875,02:41:38
-0.2421875,02:41:38
0.0625,02:41:38
0.064453125,02:41:38
-0.228515625,02:41:38
-0.232421875,02:41:38
0.0625,02:41:38
0.05859375,02:41:38
-0.248046875,02:41:38
-0.19921875,02:41:38
0.0546875,02:41:38
0.00390625,02:41:38
-0.2421875,02:41:38
-0.162109375,02:41:38
0.068359375,02:41:38
-0.0703125,02:41:38
-0.236328125,02:41:38
-0.099609375,02:41:38
0.0546875,02:41:38
-0.111328125,02:41:38
-0.25,02:41:38
-0.01171875,02:41:38
0.0625,02:41:38
-0.173828125,02:41:38
-0.23828125,02:41:38
0.015625,02:41:38
0.0703125,02:41:38
-0.23046875,02:41:38
-0.236328125,02:41:38
0.05859375,02:41:38
0.056640625,02:41:38
-0.23046875,02:41:38
-0.236328125,02:41:38
0.07421875,02:41:38
0.037109375,02:41:38
-0.236328125,02:41:38
-0.18359375,02:41:38
0.05859375,02:41:38
-0.005859375,02:41:38
-0.25,02:41:38
-0.115234375,02:41:38
0.0625,02:41:38
-0.078125,02:41:38
-0.232421875,02:41:38
-0.078125,02:41:38
0.072265625,02:41:38
-0.150390625,02:41:38
-0.2421875,02:41:38
-0.0078125,02:41:39
0.05078125,02:41:39
-0.185546875,02:41:39
-0.25390625,02:41:39
0.044921875,02:41:39
0.05859375,02:41:39
-0.2421875,02:41:39
-0.234375,02:41:39
0.05078125,02:41:39
0.060546875,02:41:39
-0.251953125,02:41:39
-0.216796875,02:41:39
0.0625,02:41:39
0.01171875,02:41:39
-0.232421875,02:41:39
-0.177734375,02:41:39
0.072265625,02:41:39
-0.044921875,02:41:39
-0.240234375,02:41:39
-0.09375,02:41:39
0.060546875,02:41:39
-0.078125,02:41:39
-0.23828125,02:41:39
-0.033203125,02:41:39
0.07421875,02:41:39
-0.1484375,02:41:39
-0.22265625,02:41:39
0.015625,02:41:39
0.076171875,02:41:39
-0.197265625,02:41:39
-0.23828125,02:41:39
0.072265625,02:41:39
0.068359375,02:41:39
-0.21875,02:41:39
-0.228515625,02:41:39
0.072265625,02:41:39
0.05859375,02:41:39
-0.240234375,02:41:39
-0.1875,02:41:39
0.060546875,02:41:39
0.013671875,02:41:39
-0.236328125,02:41:39
-0.146484375,02:41:39
0.072265625,02:41:39
-0.064453125,02:41:39
-0.232421875,02:41:39
-0.091796875,02:41:39
0.0625,02:41:39
-0.107421875,02:41:40
-0.248046875,02:41:40
-0.01953125,02:41:40
0.0546875,02:41:40
-0.169921875,02:41:40
-0.234375,02:41:40
0.029296875,02:41:40
0.076171875,02:41:40
-0.224609375,02:41:40
-0.228515625,02:41:40
0.0625,02:41:40
0.064453125,02:41:40
-0.23046875,02:41:40
-0.228515625,02:41:40
0.07421875,02:41:40
0.037109375,02:41:40
-0.2265625,02:41:40
-0.177734375,02:41:40
0.064453125,02:41:40
0.00390625,02:41:40
-0.244140625,02:41:40
-0.107421875,02:41:40
0.0703125,02:41:40
-0.0625,02:41:40
-0.220703125,02:41:40
-0.064453125,02:41:40
0.078125,02:41:40
-0.130859375,02:41:40
-0.2265625,02:41:40
0.0078125,02:41:40
0.060546875,02:41:40
-0.17578125,02:41:40
-0.244140625,02:41:40
0.0546875,02:41:40
0.068359375,02:41:40
-0.234375,02:41:40
-0.2265625,02:41:40
0.056640625,02:41:40
0.064453125,02:41:40
-0.248046875,02:41:40
-0.212890625,02:41:40
0.068359375,02:41:40
0.03125,02:41:40
-0.224609375,02:41:40
-0.169921875,02:41:40
0.072265625,02:41:40
-0.029296875,02:41:40
-0.23828125,02:41:40
-0.095703125,02:41:41
0.064453125,02:41:41
-0.07421875,02:41:41
-0.232421875,02:41:41
-0.046875,02:41:41
0.076171875,02:41:41
-0.140625,02:41:41
-0.21875,02:41:41
0.01953125,02:41:41
0.072265625,02:41:41
-0.17578125,02:41:41
-0.23828125,02:41:41
0.0703125,02:41:41
0.072265625,02:41:41
-0.22265625,02:41:41
-0.2265625,02:41:41
0.0703125,02:41:41
0.056640625,02:41:41
-0.24609375,02:41:41
-0.197265625,02:41:41
0.05078125,02:41:41
-0.01171875,02:41:41
-0.26171875,02:41:41
-0.158203125,02:41:41
0.044921875,02:41:41
-0.11328125,02:41:41
-0.259765625,02:41:41
-0.1171875,02:41:41
0.048828125,02:41:41
-0.16015625,02:41:41
-0.263671875,02:41:41
-0.041015625,02:41:41
0.03125,02:41:41
-0.208984375,02:41:41
-0.263671875,02:41:41
0.009765625,02:41:41
0.05078125,02:41:41
-0.25390625,02:41:41
-0.25,02:41:41
0.041015625,02:41:41
0.048828125,02:41:41
-0.251953125,02:41:41
-0.2421875,02:41:41
0.0625,02:41:41
0.013671875,02:41:41
-0.236328125,02:41:41
-0.185546875,02:41:41
0.05859375,02:41:41
-0.015625,02:41:42
-0.25,02:41:42
-0.107421875,02:41:42
0.060546875,02:41:42
-0.07421875,02:41:42
-0.228515625,02:41:42
-0.0703125,02:41:42
0.078125,02:41:42
-0.138671875,02:41:42
-0.23046875,02:41:42
0.00390625,02:41:42
0.0625,02:41:42
-0.17578125,02:41:42
-0.248046875,02:41:42
0.052734375,02:41:42
0.06640625,02:41:42
-0.23046875,02:41:42
-0.224609375,02:41:42
0.060546875,02:41:42
0.0703125,02:41:42
-0.244140625,02:41:42
-0.2109375,02:41:42
0.068359375,02:41:42
0.0234375,02:41:42
-0.2265625,02:41:42
-0.171875,02:41:42
0.072265625,02:41:42
-0.029296875,02:41:42
-0.23828125,02:41:42
-0.09375,02:41:42
0.064453125,02:41:42
-0.07421875,02:41:42
